New Zoning,Old Zoning,New maximum residency,Old maximum residency,New maximum sqft.,Old maximum sqft.,Distance to Closest Rapid Transit (meters)
CMX-4,C4 COM5,965.85,965.85,433931.49468209775,433931.49468209775,185.65056407456174
RM-1,R10 RES3,112.80000000000001,112.80000000000001,49939.85386171269,50581.93769707758,812.9182251452207
RSA-5,R10A RES2,72.85000000000001,72.85000000000001,97425.88470195956,97425.88470195956,102.4046005421421
CMX-2,C2 COM1,9.4,9.4,3300.44628104485,3300.44628104485,778.2762233614134
RM-1,R10 RES3,173.9,176.25,77703.92417443075,78702.974628102,1741.7528987475205
CMX-2,C2 COM1,239.70000000000002,239.70000000000002,107104.44968694147,107104.44968694147,536.639799052357
CMX-2,C2 COM1,11.75,11.75,4706.818714684824,4706.818714684824,761.3569641590573
CMX-2,C2 COM1,126.9,126.9,56259.084987540264,56259.084987540264,176.9944434272906
RM-1,R10 RES3,329.0,331.35,147032.9641612757,148923.38798620645,713.9363686243
RSA-5,R10A RES2,77.55,77.55,102482.13717253221,102482.13717253221,147.55947100915566
CMX-2,C2 COM1,58.75,58.75,25817.280909508456,25817.280909508456,1748.3794679625823
ICMX,L4 IND1,500.55,500.55,224910.47515409204,224910.47515409204,1677.754648295022
ICMX,L4 IND1,338.40000000000003,338.40000000000003,152117.09705787376,152117.09705787376,69.67993001378916
CMX-2.5,C2 COM1,7.050000000000001,4.7,2291.674193370279,1833.3393546962234,524.793535632211
CMX-1,C1 COM1,2.35,2.35,2818.575156739266,2818.575156739266,1551.3472274186038
RSA-5,C2 COM1,2.35,14.100000000000001,3770.423850117286,5317.946191984887,685.296772863532
CMX-2,C2 COM1,148.05,148.05,65675.07666577816,65675.07666577816,683.4530289697858
CMX-2.5,C2 COM1,329.0,263.2,147866.65267793136,118293.32214234507,319.6063980728273
CMX-1,C1 COM1,2.35,2.35,2554.676882868595,2554.676882868595,1520.305306547054
CMX-2,C2 COM1,7.050000000000001,7.050000000000001,3090.7529884361993,3090.7529884361993,146.63991728013386
CMX-2,C2 COM1,30.55,30.55,13608.583817744066,13608.583817744066,23.396274384317906
CMX-1,C1 COM1,2.35,2.35,5661.766705129809,5661.766705129809,1648.9634082169778
RM-1,R10 RES3,150.4,150.4,66810.20204258287,67669.19035455894,115.39958167079499
RM-1,R10 RES3,39.95,39.95,17237.236555955606,17458.858168817897,1245.3065674281274
RSA-5,R10A RES2,18.8,18.8,26698.866925519138,26698.866925519138,1626.705603574037
CMX-1,C1 COM1,2.35,2.35,2802.739098826304,2802.739098826304,1364.1396438809484
RM-1,R10 RES3,79.9,82.25,35679.578847072466,36138.31628939198,844.5504681256855
I-2,G2 IND3,0.0,0.0,72642.10516394384,72642.10516394384,967.8900766083842
RSA-5,R10A RES2,47.0,47.0,63625.77776784767,63625.77776784767,1326.8271036794813
CMX-4,C4 COM5,547.5500000000001,547.5500000000001,245731.2897322862,245731.2897322862,84.80006018819903
RSA-5,R9A RES2,91.65,91.65,122483.02921677873,122483.02921677873,1132.3624462281985
ICMX,L4 IND1,319.6,319.6,143105.04759125793,143105.04759125793,544.7619475133798
CMX-3,C2 COM1,573.4,286.7,257968.76340911395,128984.38170455697,648.1035199983087
CMX-2,C2 COM1,9.4,9.4,3896.159305144106,3896.159305144106,839.7131516885947
RSA-5,R9A RES2,96.35000000000001,96.35000000000001,127214.7146708303,127214.7146708303,1076.4253981600139
RM-1,R10 RES3,96.35000000000001,98.7,43002.90800322529,43555.80253469534,749.3358285209003
RSA-5,R10A RES2,23.5,23.5,31737.09627844607,31737.09627844607,1302.9746551293656
RM-2,R13 RES4,89.3,188.0,39341.91291221891,84304.09909761194,457.42805477015463
CMX-4,C4 COM5,1546.3,1546.3,694937.3326820949,694937.3326820949,25.494968944939227
I-2,G2 IND3,0.0,0.0,131628.6638573669,131628.6638573669,315.88912319837766
I-2,G2 IND3,0.0,0.0,385959.87433996337,385959.87433996337,329.84219487378255
RSA-5,R10A RES2,4.7,4.7,8932.487940907347,8932.487940907347,1218.640429817986
CMX-2.5,C2 COM1,218.55,176.25,98276.22559086111,78620.98047268888,443.62346961004135
RSA-5,R9A RES2,98.7,98.7,129042.43631126042,129042.43631126042,1017.6830659498995
CMX-2,C2 COM1,77.55,77.55,34422.793960020004,34422.793960020004,706.9019357523997
CMX-2,C2 COM1,178.6,178.6,79788.91975424034,79788.91975424034,964.9933930104572
RSA-5,R10 RES3,30.55,96.35000000000001,42691.031233561924,42691.031233561924,437.36150228982694
RM-1,R10 RES3,129.25,129.25,57362.65955342825,58100.17946197234,264.36039361948457
CMX-2,C2 COM1,164.5,164.5,73006.35878330893,73006.35878330893,898.5987731872731
RSA-5,R9A RES2,101.05,101.05,132417.7449238923,132417.7449238923,961.4283498579053
RM-1,R10 RES3,18.8,18.8,7771.7211317478495,7871.643260584608,900.8774157881082
RSA-5,C2 COM1,14.100000000000001,61.1,19481.682059487674,27477.68978771181,633.5520196290834
CMX-4,C4 COM5,1572.15,1572.15,706790.5619096042,706790.5619096042,18.409946477970372
